#! FIELDS d1.z file.free der_d1.z
#! SET min_d1.z -0.293618
#! SET max_d1.z 1.66858
#! SET nbins_d1.z  556
#! SET periodic_d1.z false
   -0.293618000  315.366238065   -0.917820724
   -0.290082508  315.346571589  -10.812215698
   -0.286547016  315.279105546  -31.699888672
   -0.283011524  315.075960984  -91.387841368
   -0.279476032  314.562455347 -215.687193875
   -0.275940541  313.427056627 -445.560359431
   -0.272405049  311.229152354 -823.245499393
   -0.268869557  307.408021131 -1364.636739180
   -0.265334065  301.405303166 -2051.945398305
   -0.261798573  292.846479696 -2788.312623015
   -0.258263081  281.771158665 -3449.780488885
   -0.254727589  268.709296596 -3888.905668059
   -0.251192097  254.629530096 -4020.431181620
   -0.247656605  240.619974835 -3863.273778872
   -0.244121114  227.508795326 -3542.618768121
   -0.240585622  215.569655690 -3226.023926010
   -0.237050130  204.559117513 -3028.160859100
   -0.233514638  193.985078001 -2974.276119935
   -0.229979146  183.441057988 -2997.355240358
   -0.226443654  172.800817718 -3016.726268766
   -0.222908162  162.197740226 -2968.961678895
   -0.219372670  151.885778876 -2855.000192921
   -0.215837178  142.058337150 -2703.312841133
   -0.212301686  132.763144401 -2558.166621478
   -0.208766195  123.945389854 -2437.724502129
   -0.205230703  115.498167425 -2342.547956393
   -0.201695211  107.328201976 -2273.660499230
   -0.198159719   99.412790741 -2201.190651550
   -0.194624227   91.791997469 -2109.844580519
   -0.191088735   84.532024159 -1997.150690481
   -0.187553243   77.659738132 -1888.641514371
   -0.184017751   71.167842766 -1783.383033976
   -0.180482259   65.029141820 -1687.163515430
   -0.176946768   59.238925030 -1587.502848498
   -0.173411276   53.814728104 -1479.951795508
   -0.169875784   48.773116877 -1372.946304389
   -0.166340292   44.092376339 -1279.398125478
   -0.162804800   39.706280879 -1203.774524055
   -0.159269308   35.597482662 -1120.124577069
   -0.155733816   31.801453275 -1023.698845952
   -0.152198324   28.398191971 -900.504272035
   -0.148662832   25.424875268 -787.963395064
   -0.145127341   22.791996690 -704.002086916
   -0.141591849   20.434388343 -628.781771954
   -0.138056357   18.363525170 -538.400630200
   -0.134520865   16.664538496 -417.157103129
   -0.130985373   15.403789611 -291.593925370
   -0.127449881   14.546870621 -200.770787173
   -0.123914389   13.934002288 -157.313914383
   -0.120378897   13.395710033 -152.450932262
   -0.116843405   12.856499564 -150.426387732
   -0.113307914   12.332120509 -144.827773539
   -0.109772422   11.838398388 -135.611791144
   -0.106236930   11.349428129 -147.122911251
   -0.102701438   10.799817891 -160.976190883
   -0.099165946   10.203747128 -172.111244109
   -0.095630454    9.593830338 -169.270282911
   -0.092094962    9.025983799 -149.981407036
   -0.088559470    8.531830214 -131.268798469
   -0.085023978    8.051256759 -139.899784657
   -0.081488486    7.540812447 -149.476071867
   -0.077952995    6.996490986 -159.956600086
   -0.074417503    6.421151855 -159.798341323
   -0.070882011    5.880115919 -146.950744837
   -0.067346519    5.386389750 -132.713368161
   -0.063811027    4.922744784 -132.694102948
   -0.060275535    4.443048878 -137.541090032
   -0.056740043    3.947632830 -140.953861498
   -0.053204551    3.460401756 -130.998541684
   -0.049669059    3.027641952 -115.832803870
   -0.046133568    2.637050711 -108.028726904
   -0.042598076    2.245969118 -109.891713543
   -0.039062584    1.848839846 -111.326396634
   -0.035527092    1.465888228 -104.351322591
   -0.031991600    1.136073651  -80.953289586
   -0.028456108    0.886528646  -61.180671313
   -0.024920616    0.683259363  -56.765965967
   -0.021385124    0.487755831  -53.908785166
   -0.017849632    0.298996015  -48.511945471
   -0.014314141    0.130357687  -41.395845194
   -0.010778649    0.029332161  -17.636136660
   -0.007243157    0.003997912   -2.039901513
   -0.003707665    0.005327693    1.842539605
   -0.000172173    0.003976332   -6.274185678
    0.003363319    0.000000000    2.694576638
    0.006898811    0.023894637   12.875566100
    0.010434303    0.111142550   33.591504711
    0.013969795    0.251413299   45.189611269
    0.017505286    0.423849057   54.412095327
    0.021040778    0.641905396   68.921497029
    0.024576270    0.907371461   79.618683144
    0.028111762    1.206857447   89.765587914
    0.031647254    1.531186955   94.915794655
    0.035182746    1.871703257   98.292091171
    0.038718238    2.236606778  106.792921581
    0.042253730    2.638271832  118.944010669
    0.045789222    3.085592306  130.079335880
    0.049324714    3.550846493  131.382628942
    0.052860205    4.004266553  126.984762231
    0.056395697    4.458043445  131.849772483
    0.059931189    4.957745732  150.342647342
    0.063466681    5.526717496  169.620227368
    0.067002173    6.131513871  170.929201267
    0.070537665    6.720219298  162.236205997
    0.074073157    7.301173803  163.374116491
    0.077608649    7.888442118  172.609281420
    0.081144141    8.528653479  185.401960835
    0.084679632    9.202843592  195.468403291
    0.088215124    9.887692160  191.231702597
    0.091750616   10.556176486  184.077025770
    0.095286108   11.196092261  179.170129034
    0.098821600   11.838882570  183.065606667
    0.102357092   12.510797638  197.017322698
    0.105892584   13.214944485  199.666867708
    0.109428076   13.916728545  195.549682734
    0.112963568   14.597959876  190.909321250
    0.116499059   15.270529109  183.600449838
    0.120034551   15.910172958  178.083477278
    0.123570043   16.532359239  171.952571752
    0.127105535   17.143398828  174.090202049
    0.130641027   17.763521910  178.269491970
    0.134176519   18.407639194  186.626513433
    0.137712011   19.081121864  193.874801035
    0.141247503   19.765469663  194.602518485
    0.144782995   20.426785324  178.921758927
    0.148318486   21.027498454  164.183793472
    0.151853978   21.589470490  152.763013791
    0.155389470   22.135495503  157.349251118
    0.158924962   22.703363927  160.979577903
    0.162460454   23.274634657  158.306684575
    0.165995946   23.819808692  147.320406047
    0.169531438   24.317258496  131.118336028
